"Шот";"Описание (мизансцена)";"Персонажи";"Текст речи персонажей";"Анимация";"Локация";"Работа камеры";"Хрон (сек)";"Готовность"
"S06A";"Контрастный герой вне двора. (часть 1/3)";"PM";"VoiceOver: Но есть ещё в тортовом царстве почти без статуса и власти простой торт птичи молоко. И от дворца он далеко, а все дворцовые интриги ему так чужды.";"PM сидит у окна с книгой, закрывает её, поднимается и медленно проходит к краю комнаты, прислушиваясь к тишине.";"Домик у горы";"На переднем плане подоконник и книги, в среднем PM в полный рост, на заднем уютный интерьер домика; спокойный средний с мягким трекингом вправо.";;""
"S06B";"Контрастный герой вне двора. (часть 2/3)";"PM";"Лучше книги.";"PM сидит у окна с книгой, закрывает её, поднимается и медленно проходит к краю комнаты, прислушиваясь к тишине.";"Домик у горы";"На переднем плане подоконник и книги, в среднем PM в полный рост, на заднем уютный интерьер домика; спокойный средний с мягким трекингом вправо.";;""
"S06C";"Контрастный герой вне двора. (часть 3/3)";"PM";"Он почитает в тишине, когда с собой наедине.";"PM сидит у окна с книгой, закрывает её, поднимается и медленно проходит к краю комнаты, прислушиваясь к тишине.";"Домик у горы";"На переднем плане подоконник и книги, в среднем PM в полный рост, на заднем уютный интерьер домика; спокойный средний с мягким трекингом вправо.";;""
"S07A";"Утренний поворот сюжета: герой замечает сады. (часть 1/2)";"PM";"VoiceOver: Ну что такое?";"PM выходит на край горы, задерживает шаг, щурится вдаль и вытягивает корпус вперёд, заметив сады за облаками.";"Край горы";"На переднем плане край скалы, в среднем силуэт PM, на заднем бесконечные сады и облака; общий план с медленным подъёмом камеры.";;""
"S07B";"Утренний поворот сюжета: герой замечает сады. (часть 2/2)";"PM";"Ранним утром, склонившись на краю горы, торт птичи молоко заметил вдали гигантские сады.";"PM выходит на край горы, задерживает шаг, щурится вдаль и вытягивает корпус вперёд, заметив сады за облаками.";"Край горы";"На переднем плане край скалы, в среднем силуэт PM, на заднем бесконечные сады и облака; общий план с медленным подъёмом камеры.";;""
"S08";"POV: людской сектор за облаками.";"Crowd, PM";"PM: Что это?";"PM прячется за выступом и наблюдает, Crowd-люди внизу двигаются между столами, поднимают чашки и жестами общаются.";"Сады за облаками";"Передний план занимает силуэт PM и край укрытия, в среднем столы с людьми, на дальнем фоне сады; POV-ракурс с лёгким ручным дрожанием.";;""
"S09A";"Первый монолог Птичьего Молока. (часть 1/2)";"PM";"PM: Чье же это царство? Кто вроде там в такой глуши?";"PM остаётся один, взгляд мечется между горизонтом и землёй, губы шепчут монолог, затем он резко принимает решение.";"Край скалы";"На переднем плане плечо и профиль PM, в среднем лицо в эмоции, на заднем размытый край скалы; крупный статичный с микродвижением на вдохе.";;""
"S09B";"Первый монолог Птичьего Молока. (часть 2/2)";"PM";"Наполеон или коварство? А может просто миражи?";"PM остаётся один, взгляд мечется между горизонтом и землёй, губы шепчут монолог, затем он резко принимает решение.";"Край скалы";"На переднем плане плечо и профиль PM, в среднем лицо в эмоции, на заднем размытый край скалы; крупный статичный с микродвижением на вдохе.";;""
"S10A";"Герой видит стол и людей с тортом. (часть 1/2)";"PM, Crowd";"PM: Не сон для этом не приснился.";"PM осторожно выглядывает из укрытия, Crowd-люди режут торт и двигаются вокруг стола, PM отшатывается от увиденного.";"Двор частного дома";"Передний план — предметы на столе и край тарелок, средний — люди в действии, задний — PM в тени; средний кадр с переводом фокуса с людей на PM.";;""
"S10B";"Герой видит стол и людей с тортом. (часть 2/2)";"PM, Crowd";"Ведь говорили, с детства нам не место на столе торт там, а эти варвары как можно пьют чай с тортом неосторожно, вареньем заедают сласть, раскрыв пошире свою пасть.";"PM осторожно выглядывает из укрытия, Crowd-люди режут торт и двигаются вокруг стола, PM отшатывается от увиденного.";"Двор частного дома";"Передний план — предметы на столе и край тарелок, средний — люди в действии, задний — PM в тени; средний кадр с переводом фокуса с людей на PM.";;""
"S11A";"Монолог-решение: срочно предупредить дворец. (часть 1/2)";"PM";"PM: Скорее надо во дворец.";"PM сжимает кулаки, разворачивается от обзора людей и быстрым шагом уходит по склону в сторону дворца.";"Склон горы";"На переднем плане камни тропы, в среднем PM в движении, на заднем удаляющиеся сады; средний трекинг со следованием за спиной героя.";;""
"S11B";"Монолог-решение: срочно предупредить дворец. (часть 2/2)";"PM";"Предупредить о том, что видел, ведь для тортов такой конец и в страшном сне бы не предвидел.";"PM сжимает кулаки, разворачивается от обзора людей и быстрым шагом уходит по склону в сторону дворца.";"Склон горы";"На переднем плане камни тропы, в среднем PM в движении, на заднем удаляющиеся сады; средний трекинг со следованием за спиной героя.";;""
"S12";"У ворот дворца: требование пропуска.";"PM, Gurts";"PM: Эй, леденец, открой ворота. К Наполеону мне охота.";"PM подбегает к воротам, стучит ладонью и подаётся вперёд корпусом; Gurts настораживается и фиксирует стойку.";"Ворота дворца";"Передний план — створки ворот и решётка, средний — PM и Gurts лицом к лицу, задний — дворцовый двор; средний фронтальный кадр.";;""
"S13";"Страж блокирует вход.";"Gurts, PM";"Gurts: А что за дело? Всем тортам закрыт и двери тут и там.";"Gurts выставляет руку-барьер, PM делает шаг влево в поиске прохода, но останавливается под жёстким взглядом стража.";"Ворота дворца";"На переднем плане рука/копьё Gurts, в среднем PM и страж, на заднем закрытые ворота; средний статичный с лёгким контрпланом.";;""
"S14";"Ключевая реплика-аргумент.";"PM, Gurts";"PM: А ты скажи ему, что я видал, как торт едет с утра.";"PM наклоняется ближе, говорит тихо и настойчиво, Gurts меняет выражение лица и колеблется перед решением.";"Ворота дворца";"Передний план — плечо PM, в среднем лица PM и Gurts, на заднем текстура ворот; крупный диалоговый кадр с минимальным паном.";;""
"S15A";"Тронный зал: Наполеон встречает героя угрозой. (часть 1/2)";"Napoleon, PM, General, Eclair";"Napoleon: С момента царства моего тортов здесь не было давно.";"Napoleon встаёт у трона и доминирует голосом, PM держится прямо, General и Eclair обмениваются контролирующими взглядами.";"Тронный зал";"Передний план — край трона, средний — Napoleon и PM в оппозиции, задний — General и Eclair; средний двухплановый кадр с медленным наездом.";;""
"S15B";"Тронный зал: Наполеон встречает героя угрозой. (часть 2/2)";"Napoleon, PM, General, Eclair";"И если ты сюда явился, то лучше Богу помолился.";"Napoleon встаёт у трона и доминирует голосом, PM держится прямо, General и Eclair обмениваются контролирующими взглядами.";"Тронный зал";"Передний план — край трона, средний — Napoleon и PM в оппозиции, задний — General и Eclair; средний двухплановый кадр с медленным наездом.";;""
"S16";"Птичье Молоко просит выслушать.";"PM, Napoleon";"PM: Успею я еще с мольбой. Услышь, что и лучше голос мой.";"PM делает полшага вперёд, прижимает ладонь к груди и говорит сдержанно, Napoleon отворачивает голову, показывая скепсис.";"Тронный зал";"Передний план — силуэт PM, в среднем PM и Napoleon, на заднем пустой тронный объём; крупный диалоговый кадр с лёгким наклоном камеры.";;""
"S17A";"Подробное описание увиденной угрозы. (часть 1/3)";"PM, Napoleon, Crowd";"PM: Сегодня, соответственно, из колы, увидел я, как там вдали за сводом и за небесами, за";"PM широкими жестами описывает увиденное, Crowd при дворе шепчется, Napoleon слушает с каменным лицом.";"Тронный зал";"Передний план — жесты рук PM, в среднем PM и Napoleon, задний — придворная Crowd; средний кадр с мягким круговым обходом.";;""
"S17B";"Подробное описание увиденной угрозы. (часть 2/3)";"PM, Napoleon, Crowd";"золоченными полями, где птицы роются в садах, там на обеденных столах, да вместе с чаем и";"PM широкими жестами описывает увиденное, Crowd при дворе шепчется, Napoleon слушает с каменным лицом.";"Тронный зал";"Передний план — жесты рук PM, в среднем PM и Napoleon, задний — придворная Crowd; средний кадр с мягким круговым обходом.";;""
"S17C";"Подробное описание увиденной угрозы. (часть 3/3)";"PM, Napoleon, Crowd";"вареньем, с большим, похожим наслаждением. Не знаю, что за существа, но поглотили два торта.";"PM широкими жестами описывает увиденное, Crowd при дворе шепчется, Napoleon слушает с каменным лицом.";"Тронный зал";"Передний план — жесты рук PM, в среднем PM и Napoleon, задний — придворная Crowd; средний кадр с мягким круговым обходом.";;""
"S18";"Cookie и Donut в ужасе убегают.";"Cookie, Donut";"General: Повсюду у меня есть уши. Ты лучше царь его не слушай.";"Cookie и Donut резко отскакивают от центра, переглядываются и бегут к выходу, сбивая ритм церемонии.";"Тронный зал";"Передний план — разбросанный реквизит, в среднем убегающие Cookie и Donut, на заднем шокированная Crowd; динамичный средний с рывком в пане.";;""
"S19A";"Желе обвиняет героя в заговоре. (часть 1/2)";"General, Napoleon, PM";"General: Пробрался он сюда специально, чтобы свергнуть вас. План гениальный.";"General выходит вперёд, указывает на PM обвиняющим жестом, Napoleon слушает, PM сдерживает ответ.";"Тронный зал";"Передний план — указывающая рука General, в среднем General и PM, на заднем Napoleon; крупный конфликтный кадр с контровым светом.";;""
"S19B";"Желе обвиняет героя в заговоре. (часть 2/2)";"General, Napoleon, PM";"Отдайте мне его скорей. Узнает сразу кто главней.";"General выходит вперёд, указывает на PM обвиняющим жестом, Napoleon слушает, PM сдерживает ответ.";"Тронный зал";"Передний план — указывающая рука General, в среднем General и PM, на заднем Napoleon; крупный конфликтный кадр с контровым светом.";;""
"S20";"Эклер поддерживает сомнение двора.";"Eclair, General";"Eclair: Ну что за вздор, откуда здесь до тортоеды уже есть?";"Eclair подхватывает линию General, говорит в полоборота к Napoleon и поднимает брови, усиливая сомнение.";"Тронный зал";"Передний план — профиль Eclair, средний — Eclair и General, задний — Napoleon на троне; средний репликовый кадр с лёгким долли-ин.";;""
"S21A";"Птичье Молоко настаивает: проверить лично. (часть 1/2)";"PM, Napoleon";"PM: Они не здесь, под небесами, за золоченными полями, среди садов, за облаками.";"PM не отступает, выпрямляется и снова просит проверку, Napoleon остаётся холодным и не меняет позы.";"Тронный зал";"Передний план — PM в полуобороте, средний — PM и Napoleon, задний — глубокий зал; средний статичный кадр с короткой сменой фокуса.";;""
"S21B";"Птичье Молоко настаивает: проверить лично. (часть 2/2)";"PM, Napoleon";"Сходите и проверьте сами.";"PM не отступает, выпрямляется и снова просит проверку, Napoleon остаётся холодным и не меняет позы.";"Тронный зал";"Передний план — PM в полуобороте, средний — PM и Napoleon, задний — глубокий зал; средний статичный кадр с короткой сменой фокуса.";;""
"S22";"Желе повышает давление.";"General, PM";"General: Да ты дерзить, похоже, вздумал. Ишь, посмотри, чего думал.";"General сокращает дистанцию, нависает над PM и гасит его попытку говорить, PM сохраняет стойкость.";"Тронный зал";"Передний план — силуэт General, средний — PM под давлением, задний — трон и стража; средний кадр с небольшим нижним ракурсом.";;""
"S23A";"Наполеон высмеивает и отвергает угрозу. (часть 1/2)";"Napoleon, PM";"Napoleon: Ну ты ей Богу рассмешил. Чего ты видел, где ты был? И нам какая в том забота?";"Napoleon усмехается, делает dismiss-жест рукой и отворачивается от PM, завершая спор приказным тоном.";"Тронный зал";"На переднем плане жест Napoleon, в среднем Napoleon и PM, на заднем Eclair и General; крупный/средний переход с акцентом на реакцию PM.";;""
"S23B";"Наполеон высмеивает и отвергает угрозу. (часть 2/2)";"Napoleon, PM";"Не наши, это ведь работа другие царства изучать. Своих бы слуг нам поучать.";"Napoleon усмехается, делает dismiss-жест рукой и отворачивается от PM, завершая спор приказным тоном.";"Тронный зал";"На переднем плане жест Napoleon, в среднем Napoleon и PM, на заднем Eclair и General; крупный/средний переход с акцентом на реакцию PM.";;""
"S24A";"Птичье Молоко предупреждает о последствиях. (часть 1/2)";"PM, Napoleon";"PM: Ну как хотите, только если вас так сожрут, сожрут всех";"PM делает последний шаг к центру, предупреждает о риске и фиксирует взгляд на Napoleon, не моргая.";"Тронный зал";"Передний план — лицо PM, средний — дистанция PM и Napoleon, задний — пустой тронный проход; крупный драматический кадр.";;""
"S24B";"Птичье Молоко предупреждает о последствиях. (часть 2/2)";"PM, Napoleon";"вместе, то вспомните мои слова, на то и есть ведь голова.";"PM делает последний шаг к центру, предупреждает о риске и фиксирует взгляд на Napoleon, не моргая.";"Тронный зал";"Передний план — лицо PM, средний — дистанция PM и Napoleon, задний — пустой тронный проход; крупный драматический кадр.";;""
"S25";"Желе срывается: «надоел».";"General, PM";"General: Всё, надоел ты мне однако, да ты еще из-за бияка?";"General срывается, резко выбрасывает руку вперёд и перекрывает PM путь, PM инстинктивно отступает на полшага.";"Тронный зал";"Передний план — резкий жест General, средний — General и PM в столкновении, задний — охрана; крупный кадр с жёсткой остановкой камеры.";;""
"S26";"Свисток и выход охраны.";"General, Gurts";"General: Всё, довольно.";"General свистит, Gurts быстро входят в кадр с двух сторон и смыкают коридор вокруг PM.";"Тронный зал";"Передний план — движение Gurts в расфокусе, средний — General в центре, задний — PM в кольце; средний динамичный кадр с панорамой слева направо.";;""
"S27A";"Наполеон выдворяет героя к горам. (часть 1/2)";"Napoleon, PM, Gurts";"Napoleon: Хватит нам. Езжай обратно ты к горам.";"Napoleon приказывает вывести PM, Gurts берут его в сопровождение, PM уходит, оглядываясь на трон.";"Тронный зал / выход";"Передний план — плечи Gurts, средний — PM между ними, задний — Napoleon у трона; средний проводочный кадр к выходу.";;""
"S27B";"Наполеон выдворяет героя к горам. (часть 2/2)";"Napoleon, PM, Gurts";"За твое смелость отпускаю, но если я опять узнаю, что ты про это говоришь, тогда держись наш торт, малыш.";"Napoleon приказывает вывести PM, Gurts берут его в сопровождение, PM уходит, оглядываясь на трон.";"Тронный зал / выход";"Передний план — плечи Gurts, средний — PM между ними, задний — Napoleon у трона; средний проводочный кадр к выходу.";;""
"S28A";"Тайный приказ о слежке. (часть 1/2)";"Napoleon, General";"Napoleon: И всё же вы за ним следите. И мне тихонько говорите.";"После ухода PM Napoleon понижает голос и даёт General скрытый приказ о наблюдении.";"Тронный зал";"Передний план — край трона и тень, средний — Napoleon и General близко друг к другу, задний — пустеющий зал; крупный тайный кадр.";;""
"S28B";"Тайный приказ о слежке. (часть 2/2)";"Napoleon, General";"Вдруг что и где произойдет? А если этот торт не врет?";"После ухода PM Napoleon понижает голос и даёт General скрытый приказ о наблюдении.";"Тронный зал";"Передний план — край трона и тень, средний — Napoleon и General близко друг к другу, задний — пустеющий зал; крупный тайный кадр.";;""
"S29A";"Появление Казначея с проверкой инвентаря. (часть 1/2)";"Blin, Napoleon";"Blin: Простите, а у нас проверка. Читаем царский инвентарь.";"Blin осторожно входит со свитком, показывает инвентарь и мнётся, Napoleon нетерпеливо ждёт цифры.";"Тронный зал";"Передний план — свиток/печать в руках Blin, средний — Blin и Napoleon, задний — стража у колонн; средний деловой кадр.";;""
"S29B";"Появление Казначея с проверкой инвентаря. (часть 2/2)";"Blin, Napoleon";"Утрона номерная бирка. Да и записать мне ее, царь.";"Blin осторожно входит со свитком, показывает инвентарь и мнётся, Napoleon нетерпеливо ждёт цифры.";"Тронный зал";"Передний план — свиток/печать в руках Blin, средний — Blin и Napoleon, задний — стража у колонн; средний деловой кадр.";;""
"S30A";"Наполеон переводит разговор к бюджету армии. (часть 1/2)";"Napoleon, Blin, General";"Napoleon: Какая нынче обстановка? И ты давай тут не юлей.";"Napoleon разворачивается к Blin и General, жёстко формулирует запрос по бюджету и военным расходам.";"Тронный зал";"Передний план — Napoleon в полуфигуре, средний — Blin и General как адресаты, задний — трон; средний трёхфигурный кадр с лёгким зумом.";;""
"S30B";"Наполеон переводит разговор к бюджету армии. (часть 2/2)";"Napoleon, Blin, General";"Для армии нужна обновка. Мы сколько денег сберегли?";"Napoleon разворачивается к Blin и General, жёстко формулирует запрос по бюджету и военным расходам.";"Тронный зал";"Передний план — Napoleon в полуфигуре, средний — Blin и General как адресаты, задний — трон; средний трёхфигурный кадр с лёгким зумом.";;""
"S31A";"Казначей предлагает закрыть балы ради финансов. (часть 1/2)";"Blin, Napoleon";"Blin: Бой, государь, ну что вы правы? Казна пуста.";"Blin считает на пальцах, предлагает урезать балы и показывает расчёт на листе Napoleon.";"Тронный зал";"Передний план — лист с цифрами, средний — Blin и Napoleon, задний — зал в полутьме; крупно-средний кадр с акцентом на документ.";;""
"S31B";"Казначей предлагает закрыть балы ради финансов. (часть 2/2)";"Blin, Napoleon";"Ну если надо, мы можем прекратить баллы. Финансы вырастут твой.";"Blin считает на пальцах, предлагает урезать балы и показывает расчёт на листе Napoleon.";"Тронный зал";"Передний план — лист с цифрами, средний — Blin и Napoleon, задний — зал в полутьме; крупно-средний кадр с акцентом на документ.";;""
"S32A";"Эклер протестует против отмены балов. (часть 1/2)";"Eclair";"Eclair: Жизнь без баллов. Как это грустно.";"Eclair эмоционально возражает, разводит руки и делает шаг к центру, защищая придворные традиции.";"Тронный зал";"Передний план — лицо Eclair, средний — его жесты, задний — размытый трон и стража; средний портретный кадр.";;""
"S32B";"Эклер протестует против отмены балов. (часть 2/2)";"Eclair";"Блин. Слушай, это ведь искусство.";"Eclair эмоционально возражает, разводит руки и делает шаг к центру, защищая придворные традиции.";"Тронный зал";"Передний план — лицо Eclair, средний — его жесты, задний — размытый трон и стража; средний портретный кадр.";;""
"S33A";"Танец прерывается силовой репликой Желе. (часть 1/2)";"Eclair, General, Cookie, Donut";"General: Искусство в поле. И в бою.";"General жёстко прерывает танец, Cookie и Donut останавливаются на полушаге, Eclair замолкает.";"Тронный зал";"Передний план — застывшие ноги танцующих, средний — General и Eclair, задний — Crowd в стоп-реакции; средний кадр с резким стоп-паном.";;""
"S33B";"Танец прерывается силовой репликой Желе. (часть 2/2)";"Eclair, General, Cookie, Donut";"Балы я лично не люблю.";"General жёстко прерывает танец, Cookie и Donut останавливаются на полушаге, Eclair замолкает.";"Тронный зал";"Передний план — застывшие ноги танцующих, средний — General и Eclair, задний — Crowd в стоп-реакции; средний кадр с резким стоп-паном.";;""
"S34A";"Наполеон официально закрывает балы. (часть 1/2)";"Napoleon, Crowd";"Napoleon: Ввиду особые обстановки. И для сохранности моей. Так же армии обновки.";"Napoleon официально объявляет закрытие балов, Crowd замирает и переглядывается.";"Тронный зал";"Передний план — Napoleon в доминирующем ракурсе, средний — придворная Crowd, задний — тронная ось; крупный приказной кадр.";;""
"S34B";"Наполеон официально закрывает балы. (часть 2/2)";"Napoleon, Crowd";"Балы закрыть все. Поскорей.";"Napoleon официально объявляет закрытие балов, Crowd замирает и переглядывается.";"Тронный зал";"Передний план — Napoleon в доминирующем ракурсе, средний — придворная Crowd, задний — тронная ось; крупный приказной кадр.";;""
"S35";"Crowd в шоке от решения.";"Donut, Cookie, Vatrushki";"Eclair: А знаешь, царь.";"Donut, Cookie и Vatrushki обмениваются тревожными взглядами, шепчутся и отходят в сторону.";"Тронный зал";"Передний план — лица Donut и Cookie, средний — Vatrushki, задний — глубина зала и трон; средний реакционный кадр.";;""
"S36";"Эклер сообщает о пещерном лазе.";"Eclair, Napoleon";"Eclair: Намед не слышал, что есть в горе пещерный лаз.";"Eclair наклоняется к Napoleon и сообщает о лазе, Napoleon быстро переводит внимание на него.";"Тронный зал";"Передний план — профиль Eclair, средний — Eclair и Napoleon, задний — колонны тронного зала; средний заговорщический кадр.";;""
"S37";"Наполеон требует детали шёпотом.";"Napoleon, Eclair";"Napoleon: А ну-ка подойди поближе. Поведай мне о том сейчас.";"Napoleon жестом подзывает Eclair ближе, оба переходят на полушёпот и закрывают позу от остальных.";"Тронный зал";"Передний план — рука Napoleon в приглашающем жесте, средний — пара Napoleon/Eclair, задний — размытая охрана; крупный приватный кадр.";;""
"S38A";"Эклер объясняет проход в другой мир. (часть 1/2)";"Eclair, Napoleon, General";"Eclair: Так через этот лаз возможно попасть в тот мир. Неосторожно.";"Eclair подробно объясняет маршрут, General вслушивается и кивает, Napoleon обдумывает план.";"Тронный зал";"Передний план — карта/жест Eclair, средний — Eclair, Napoleon и General, задний — тёмный проход зала; средний информационный кадр.";;""
"S38B";"Эклер объясняет проход в другой мир. (часть 2/2)";"Eclair, Napoleon, General";"Ну в тот, про что он говорил.";"Eclair подробно объясняет маршрут, General вслушивается и кивает, Napoleon обдумывает план.";"Тронный зал";"Передний план — карта/жест Eclair, средний — Eclair, Napoleon и General, задний — тёмный проход зала; средний информационный кадр.";;""
"S39A";"Наполеон утверждает план контроля и наблюдения. (часть 1/2)";"Napoleon, General, Eclair";"Napoleon: Все, понял. Ты нас убедил. Поставим мы туда охрану.";"Napoleon окончательно утверждает план, General принимает приказ стойкой «к исполнению», Eclair подтверждает.";"Тронный зал";"Передний план — Napoleon в резком свете, средний — General и Eclair, задний — трон и баннеры; крупный финализирующий кадр.";;""
"S39B";"Наполеон утверждает план контроля и наблюдения. (часть 2/2)";"Napoleon, General, Eclair";"И держимся такого плана. Заптичим молоком следить, но только торту не вредить.";"Napoleon окончательно утверждает план, General принимает приказ стойкой «к исполнению», Eclair подтверждает.";"Тронный зал";"Передний план — Napoleon в резком свете, средний — General и Eclair, задний — трон и баннеры; крупный финализирующий кадр.";;""
"S40";"Финальный аккорд пилота.";"Crowd";"Napoleon: А если что-нибудь случится, то генерал там отличится.";"Crowd остаётся в напряжённой тишине; в зале чувствуется подготовка к скрытым действиям после приказа.";"Тронный зал → титры";"Передний план — силуэты Crowd, средний — пустеющий центр зала, задний — трон в полумраке; общий план с мягким затемнением.";;""
