shot_id;prompt_ru;prompt_en
S06A;"Шот S06A. Локация: Домик у горы. Персонажи: ПМ. Мизансцена: Контрастный герой вне двора. (часть 1/3). Действие: PM сидит у окна с книгой, закрывает её, поднимается и медленно проходит к краю комнаты, прислушиваясь к тишине.. Камера: На переднем плане подоконник и книги, в среднем PM в полный рост, на заднем уютный интерьер домика; спокойный средний с мягким трекингом вправо.. Реплика: VoiceOver: Но есть ещё в тортовом царстве почти без статуса и власти простой торт птичи молоко. И от дворца он далеко, а все дворцовые интриги ему так чужды.. Стиль: стилизованная 3D-анимация для детей, единая идентичность персонажей, кинематографичная композиция 16:9, без текста/логотипов/водяных знаков. Негативный промпт: фотореализм людей, лишние конечности, деформация анатомии, артефакты jpeg, watermark, logo, text overlay.";"Shot S06A. Location: House by the mountain. Characters: PM. Scene: A contrasting hero outside the court. (part 1/3). Action: PM sits by the window with a book, closes it, gets up and slowly walks to the edge of the room, listening to the silence.. Camera: In the foreground there is a window sill and books, on average PM in full height, in the background there is a cozy interior of a house; calm middle with soft tracking to the right.. Dialogue: VoiceOver: But there is also, in the cake kingdom, almost without status and power, a simple bird’s milk cake. And he is far from the palace, and all palace intrigues are so alien to him.. Style: stylized child-safe 3D animation, consistent character identity, cinematic 16:9 composition, no text/logo/watermark. Negative prompt: photoreal human look, extra limbs, deformed anatomy, jpeg artifacts, watermark, logo, text overlay."
S06B;"Шот S06B. Локация: Домик у горы. Персонажи: ПМ. Мизансцена: Контрастный герой вне двора. (часть 2/3). Действие: PM сидит у окна с книгой, закрывает её, поднимается и медленно проходит к краю комнаты, прислушиваясь к тишине.. Камера: На переднем плане подоконник и книги, в среднем PM в полный рост, на заднем уютный интерьер домика; спокойный средний с мягким трекингом вправо.. Реплика: Лучше книги.. Стиль: стилизованная 3D-анимация для детей, единая идентичность персонажей, кинематографичная композиция 16:9, без текста/логотипов/водяных знаков. Негативный промпт: фотореализм людей, лишние конечности, деформация анатомии, артефакты jpeg, watermark, logo, text overlay.";"Shot S06B. Location: House by the mountain. Characters: PM. Scene: A contrasting hero outside the court. (part 2/3). Action: PM sits by the window with a book, closes it, gets up and slowly walks to the edge of the room, listening to the silence.. Camera: In the foreground there is a window sill and books, on average PM in full height, in the background there is a cozy interior of a house; calm middle with soft tracking to the right.. Dialogue: Better than books.. Style: stylized child-safe 3D animation, consistent character identity, cinematic 16:9 composition, no text/logo/watermark. Negative prompt: photoreal human look, extra limbs, deformed anatomy, jpeg artifacts, watermark, logo, text overlay."
S06C;"Шот S06C. Локация: Домик у горы. Персонажи: ПМ. Мизансцена: Контрастный герой вне двора. (часть 3/3). Действие: PM сидит у окна с книгой, закрывает её, поднимается и медленно проходит к краю комнаты, прислушиваясь к тишине.. Камера: На переднем плане подоконник и книги, в среднем PM в полный рост, на заднем уютный интерьер домика; спокойный средний с мягким трекингом вправо.. Реплика: Он почитает в тишине, когда с собой наедине.. Стиль: стилизованная 3D-анимация для детей, единая идентичность персонажей, кинематографичная композиция 16:9, без текста/логотипов/водяных знаков. Негативный промпт: фотореализм людей, лишние конечности, деформация анатомии, артефакты jpeg, watermark, logo, text overlay.";"Shot S06C. Location: House by the mountain. Characters: PM. Scene: A contrasting hero outside the court. (part 3/3). Action: PM sits by the window with a book, closes it, gets up and slowly walks to the edge of the room, listening to the silence.. Camera: In the foreground there is a window sill and books, on average PM in full height, in the background there is a cozy interior of a house; calm middle with soft tracking to the right.. Dialogue: He reads in silence, when he is alone with himself.. Style: stylized child-safe 3D animation, consistent character identity, cinematic 16:9 composition, no text/logo/watermark. Negative prompt: photoreal human look, extra limbs, deformed anatomy, jpeg artifacts, watermark, logo, text overlay."
S07A;"Шот S07A. Локация: Край горы. Персонажи: ПМ. Мизансцена: Утренний поворот сюжета: герой замечает сады. (часть 1/2). Действие: PM выходит на край горы, задерживает шаг, щурится вдаль и вытягивает корпус вперёд, заметив сады за облаками.. Камера: На переднем плане край скалы, в среднем силуэт PM, на заднем бесконечные сады и облака; общий план с медленным подъёмом камеры.. Реплика: VoiceOver: Ну что такое?. Стиль: стилизованная 3D-анимация для детей, единая идентичность персонажей, кинематографичная композиция 16:9, без текста/логотипов/водяных знаков. Негативный промпт: фотореализм людей, лишние конечности, деформация анатомии, артефакты jpeg, watermark, logo, text overlay.";"Shot S07A. Location: Edge of the Mountain. Characters: PM. Scene: Morning plot twist: the hero notices the gardens. (part 1/2). Action: PM walks out to the edge of the mountain, pauses his step, squints into the distance and stretches his body forward, noticing the gardens behind the clouds.. Camera: In the foreground is the edge of a cliff, in the middle is the silhouette of PM, in the background are endless gardens and clouds; long shot with the camera slowly rising.. Dialogue: VoiceOver: Well, what is it?. Style: stylized child-safe 3D animation, consistent character identity, cinematic 16:9 composition, no text/logo/watermark. Negative prompt: photoreal human look, extra limbs, deformed anatomy, jpeg artifacts, watermark, logo, text overlay."
S07B;"Шот S07B. Локация: Край горы. Персонажи: ПМ. Мизансцена: Утренний поворот сюжета: герой замечает сады. (часть 2/2). Действие: PM выходит на край горы, задерживает шаг, щурится вдаль и вытягивает корпус вперёд, заметив сады за облаками.. Камера: На переднем плане край скалы, в среднем силуэт PM, на заднем бесконечные сады и облака; общий план с медленным подъёмом камеры.. Реплика: Ранним утром, склонившись на краю горы, торт птичи молоко заметил вдали гигантские сады.. Стиль: стилизованная 3D-анимация для детей, единая идентичность персонажей, кинематографичная композиция 16:9, без текста/логотипов/водяных знаков. Негативный промпт: фотореализм людей, лишние конечности, деформация анатомии, артефакты jpeg, watermark, logo, text overlay.";"Shot S07B. Location: Edge of the Mountain. Characters: PM. Scene: Morning plot twist: the hero notices the gardens. (part 2/2). Action: PM walks out to the edge of the mountain, pauses his step, squints into the distance and stretches his body forward, noticing the gardens behind the clouds.. Camera: In the foreground is the edge of a cliff, in the middle is the silhouette of PM, in the background are endless gardens and clouds; long shot with the camera slowly rising.. Dialogue: Early in the morning, leaning on the edge of the mountain, the bird's milk cake noticed giant gardens in the distance.. Style: stylized child-safe 3D animation, consistent character identity, cinematic 16:9 composition, no text/logo/watermark. Negative prompt: photoreal human look, extra limbs, deformed anatomy, jpeg artifacts, watermark, logo, text overlay."
S08;"Шот S08. Локация: Сады за облаками. Персонажи: Стая / Массовка, ПМ. Мизансцена: POV: людской сектор за облаками.. Действие: PM прячется за выступом и наблюдает, Crowd-люди внизу двигаются между столами, поднимают чашки и жестами общаются.. Камера: Передний план занимает силуэт PM и край укрытия, в среднем столы с людьми, на дальнем фоне сады; POV-ракурс с лёгким ручным дрожанием.. Реплика: PM: Что это?. Стиль: стилизованная 3D-анимация для детей, единая идентичность персонажей, кинематографичная композиция 16:9, без текста/логотипов/водяных знаков. Негативный промпт: фотореализм людей, лишние конечности, деформация анатомии, артефакты jpeg, watermark, logo, text overlay.";"Shot S08. Location: Gardens beyond the clouds. Characters: Crowd, PM. Scene: POV: the human sector behind the clouds.. Action: The PM hides behind the ledge and watches, the Crowd-people below move between the tables, raise their cups and communicate with gestures.. Camera: The foreground is occupied by the silhouette of PM and the edge of the shelter, tables with people in the middle, gardens in the background; POV angle with slight hand shake.. Dialogue: PM: What is this?. Style: stylized child-safe 3D animation, consistent character identity, cinematic 16:9 composition, no text/logo/watermark. Negative prompt: photoreal human look, extra limbs, deformed anatomy, jpeg artifacts, watermark, logo, text overlay."
S09A;"Шот S09A. Локация: Край скалы. Персонажи: ПМ. Мизансцена: Первый монолог Птичьего Молока. (часть 1/2). Действие: PM остаётся один, взгляд мечется между горизонтом и землёй, губы шепчут монолог, затем он резко принимает решение.. Камера: На переднем плане плечо и профиль PM, в среднем лицо в эмоции, на заднем размытый край скалы; крупный статичный с микродвижением на вдохе.. Реплика: PM: Чье же это царство? Кто вроде там в такой глуши?. Стиль: стилизованная 3D-анимация для детей, единая идентичность персонажей, кинематографичная композиция 16:9, без текста/логотипов/водяных знаков. Негативный промпт: фотореализм людей, лишние конечности, деформация анатомии, артефакты jpeg, watermark, logo, text overlay.";"Shot S09A. Location: cliff edge. Characters: PM. Scene: The first monologue of Bird's Milk. (part 1/2). Action: PM is left alone, his gaze darts between the horizon and the ground, his lips whisper a monologue, then he abruptly makes a decision.. Camera: In the foreground is the shoulder and profile of PM, in the middle is the face in emotion, in the background is the blurred edge of the cliff; large static with micro-movement on inhalation.. Dialogue: PM: Whose kingdom is this? Who seems to be there in such a wilderness?. Style: stylized child-safe 3D animation, consistent character identity, cinematic 16:9 composition, no text/logo/watermark. Negative prompt: photoreal human look, extra limbs, deformed anatomy, jpeg artifacts, watermark, logo, text overlay."
S09B;"Шот S09B. Локация: Край скалы. Персонажи: ПМ. Мизансцена: Первый монолог Птичьего Молока. (часть 2/2). Действие: PM остаётся один, взгляд мечется между горизонтом и землёй, губы шепчут монолог, затем он резко принимает решение.. Камера: На переднем плане плечо и профиль PM, в среднем лицо в эмоции, на заднем размытый край скалы; крупный статичный с микродвижением на вдохе.. Реплика: Наполеон или коварство? А может просто миражи?. Стиль: стилизованная 3D-анимация для детей, единая идентичность персонажей, кинематографичная композиция 16:9, без текста/логотипов/водяных знаков. Негативный промпт: фотореализм людей, лишние конечности, деформация анатомии, артефакты jpeg, watermark, logo, text overlay.";"Shot S09B. Location: cliff edge. Characters: PM. Scene: The first monologue of Bird's Milk. (part 2/2). Action: PM is left alone, his gaze darts between the horizon and the ground, his lips whisper a monologue, then he abruptly makes a decision.. Camera: In the foreground is the shoulder and profile of PM, in the middle is the face in emotion, in the background is the blurred edge of the cliff; large static with micro-movement on inhalation.. Dialogue: Napoleon or deceit? Or maybe just mirages?. Style: stylized child-safe 3D animation, consistent character identity, cinematic 16:9 composition, no text/logo/watermark. Negative prompt: photoreal human look, extra limbs, deformed anatomy, jpeg artifacts, watermark, logo, text overlay."
S10A;"Шот S10A. Локация: Двор частного дома. Персонажи: ПМ, Стая / Массовка. Мизансцена: Герой видит стол и людей с тортом. (часть 1/2). Действие: PM осторожно выглядывает из укрытия, Crowd-люди режут торт и двигаются вокруг стола, PM отшатывается от увиденного.. Камера: Передний план — предметы на столе и край тарелок, средний — люди в действии, задний — PM в тени; средний кадр с переводом фокуса с людей на PM.. Реплика: PM: Не сон для этом не приснился.. Стиль: стилизованная 3D-анимация для детей, единая идентичность персонажей, кинематографичная композиция 16:9, без текста/логотипов/водяных знаков. Негативный промпт: фотореализм людей, лишние конечности, деформация анатомии, артефакты jpeg, watermark, logo, text overlay.";"Shot S10A. Location: Courtyard of a private house. Characters: PM, Crowd. Scene: The hero sees a table and people with a cake. (part 1/2). Action: PM cautiously peeks out from cover, Crowd people cut the cake and move around the table, PM recoils from what he sees.. Camera: Foreground - objects on the table and the edge of plates, middle - people in action, background - PM in the shadows; medium shot with focus shifting from people to PM.. Dialogue: PM: This was not a dream.. Style: stylized child-safe 3D animation, consistent character identity, cinematic 16:9 composition, no text/logo/watermark. Negative prompt: photoreal human look, extra limbs, deformed anatomy, jpeg artifacts, watermark, logo, text overlay."
S10B;"Шот S10B. Локация: Двор частного дома. Персонажи: ПМ, Стая / Массовка. Мизансцена: Герой видит стол и людей с тортом. (часть 2/2). Действие: PM осторожно выглядывает из укрытия, Crowd-люди режут торт и двигаются вокруг стола, PM отшатывается от увиденного.. Камера: Передний план — предметы на столе и край тарелок, средний — люди в действии, задний — PM в тени; средний кадр с переводом фокуса с людей на PM.. Реплика: Ведь говорили, с детства нам не место на столе торт там, а эти варвары как можно пьют чай с тортом неосторожно, вареньем заедают сласть, раскрыв пошире свою пасть.. Стиль: стилизованная 3D-анимация для детей, единая идентичность персонажей, кинематографичная композиция 16:9, без текста/логотипов/водяных знаков. Негативный промпт: фотореализм людей, лишние конечности, деформация анатомии, артефакты jpeg, watermark, logo, text overlay.";"Shot S10B. Location: Courtyard of a private house. Characters: PM, Crowd. Scene: The hero sees a table and people with a cake. (part 2/2). Action: PM cautiously peeks out from cover, Crowd people cut the cake and move around the table, PM recoils from what he sees.. Camera: Foreground - objects on the table and the edge of plates, middle - people in action, background - PM in the shadows; medium shot with focus shifting from people to PM.. Dialogue: After all, they said that since childhood, cake has no place on the table for us, but these barbarians drink tea with cake carelessly as much as possible, eat the sweet with jam, opening their mouths wide.. Style: stylized child-safe 3D animation, consistent character identity, cinematic 16:9 composition, no text/logo/watermark. Negative prompt: photoreal human look, extra limbs, deformed anatomy, jpeg artifacts, watermark, logo, text overlay."
S11A;"Шот S11A. Локация: Склон горы. Персонажи: ПМ. Мизансцена: Монолог-решение: срочно предупредить дворец. (часть 1/2). Действие: PM сжимает кулаки, разворачивается от обзора людей и быстрым шагом уходит по склону в сторону дворца.. Камера: На переднем плане камни тропы, в среднем PM в движении, на заднем удаляющиеся сады; средний трекинг со следованием за спиной героя.. Реплика: PM: Скорее надо во дворец.. Стиль: стилизованная 3D-анимация для детей, единая идентичность персонажей, кинематографичная композиция 16:9, без текста/логотипов/водяных знаков. Негативный промпт: фотореализм людей, лишние конечности, деформация анатомии, артефакты jpeg, watermark, logo, text overlay.";"Shot S11A. Location: mountainside. Characters: PM. Scene: Monologue-solution: urgently warn the palace. (part 1/2). Action: PM clenches his fists, turns away from the view of people and quickly walks down the slope towards the palace.. Camera: In the foreground there are stones of the path, in the middle PM in motion, in the background receding gardens; average tracking with following behind the hero's back.. Dialogue: PM: We need to go to the palace quickly.. Style: stylized child-safe 3D animation, consistent character identity, cinematic 16:9 composition, no text/logo/watermark. Negative prompt: photoreal human look, extra limbs, deformed anatomy, jpeg artifacts, watermark, logo, text overlay."
S11B;"Шот S11B. Локация: Склон горы. Персонажи: ПМ. Мизансцена: Монолог-решение: срочно предупредить дворец. (часть 2/2). Действие: PM сжимает кулаки, разворачивается от обзора людей и быстрым шагом уходит по склону в сторону дворца.. Камера: На переднем плане камни тропы, в среднем PM в движении, на заднем удаляющиеся сады; средний трекинг со следованием за спиной героя.. Реплика: Предупредить о том, что видел, ведь для тортов такой конец и в страшном сне бы не предвидел.. Стиль: стилизованная 3D-анимация для детей, единая идентичность персонажей, кинематографичная композиция 16:9, без текста/логотипов/водяных знаков. Негативный промпт: фотореализм людей, лишние конечности, деформация анатомии, артефакты jpeg, watermark, logo, text overlay.";"Shot S11B. Location: mountainside. Characters: PM. Scene: Monologue-solution: urgently warn the palace. (part 2/2). Action: PM clenches his fists, turns away from the view of people and quickly walks down the slope towards the palace.. Camera: In the foreground there are stones of the path, in the middle PM in motion, in the background receding gardens; average tracking with following behind the hero's back.. Dialogue: To warn about what I saw, because even in my worst nightmare I would not have foreseen such an end for cakes.. Style: stylized child-safe 3D animation, consistent character identity, cinematic 16:9 composition, no text/logo/watermark. Negative prompt: photoreal human look, extra limbs, deformed anatomy, jpeg artifacts, watermark, logo, text overlay."
