sheet,panel,shot_id,title,location,characters,dialogue,action,camera,prompt_base_ru,prompt_base_en,negative_prompt
2,3,S06A,Контрастный герой вне двора. (часть 1/3),Домик у горы,PM,"VoiceOver: Но есть ещё в тортовом царстве почти без статуса и власти простой торт птичи молоко. И от дворца он далеко, а все дворцовые интриги ему так чужды.","PM сидит у окна с книгой и видом на реку, закрывает книгу, поднимается и медленно проходит к краю комнаты, прислушиваясь к тишине.","На переднем плане подоконник и книги, в среднем PM в полный рост, на заднем уютный интерьер домика; спокойный средний с мягким трекингом вправо.","Кадр S06A. Локация: Домик у горы. Персонажи: PM. Сцена: Контрастный герой вне двора. (часть 1/3). Действие: PM сидит у окна с книгой и видом на реку, закрывает книгу, поднимается и медленно проходит к краю комнаты, прислушиваясь к тишине.. Камера: На переднем плане подоконник и книги, в среднем PM в полный рост, на заднем уютный интерьер домика; спокойный средний с мягким трекингом вправо.. Реплика: VoiceOver: Но есть ещё в тортовом царстве почти без статуса и власти простой торт птичи молоко. И от дворца он далеко, а все дворцовые интриги ему так чужды..","Shot S06A. Location: Домик у горы. Characters: PM. Scene: Контрастный герой вне двора. (часть 1/3). Action: PM сидит у окна с книгой и видом на реку, закрывает книгу, поднимается и медленно проходит к краю комнаты, прислушиваясь к тишине.. Camera: На переднем плане подоконник и книги, в среднем PM в полный рост, на заднем уютный интерьер домика; спокойный средний с мягким трекингом вправо.. Dialogue: VoiceOver: Но есть ещё в тортовом царстве почти без статуса и власти простой торт птичи молоко. И от дворца он далеко, а все дворцовые интриги ему так чужды..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
2,4,S06B,Контрастный герой вне двора. (часть 2/3),Домик у горы,PM,Лучше книги.,"PM сидит у окна с книгой и видом на реку, закрывает книгу, поднимается и медленно проходит к краю комнаты, прислушиваясь к тишине.","На переднем плане подоконник и книги, в среднем PM в полный рост, на заднем уютный интерьер домика; спокойный средний с мягким трекингом вправо.","Кадр S06B. Локация: Домик у горы. Персонажи: PM. Сцена: Контрастный герой вне двора. (часть 2/3). Действие: PM сидит у окна с книгой и видом на реку, закрывает книгу, поднимается и медленно проходит к краю комнаты, прислушиваясь к тишине.. Камера: На переднем плане подоконник и книги, в среднем PM в полный рост, на заднем уютный интерьер домика; спокойный средний с мягким трекингом вправо.. Реплика: Лучше книги..","Shot S06B. Location: Домик у горы. Characters: PM. Scene: Контрастный герой вне двора. (часть 2/3). Action: PM сидит у окна с книгой и видом на реку, закрывает книгу, поднимается и медленно проходит к краю комнаты, прислушиваясь к тишине.. Camera: На переднем плане подоконник и книги, в среднем PM в полный рост, на заднем уютный интерьер домика; спокойный средний с мягким трекингом вправо.. Dialogue: Лучше книги..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
2,5,S06C,Контрастный герой вне двора. (часть 3/3),Домик у горы,PM,"Он почитает в тишине, когда с собой наедине.","PM сидит у окна с книгой и видом на реку, закрывает книгу, поднимается и медленно проходит к краю комнаты, прислушиваясь к тишине.","На переднем плане подоконник и книги, в среднем PM в полный рост, на заднем уютный интерьер домика; спокойный средний с мягким трекингом вправо.","Кадр S06C. Локация: Домик у горы. Персонажи: PM. Сцена: Контрастный герой вне двора. (часть 3/3). Действие: PM сидит у окна с книгой и видом на реку, закрывает книгу, поднимается и медленно проходит к краю комнаты, прислушиваясь к тишине.. Камера: На переднем плане подоконник и книги, в среднем PM в полный рост, на заднем уютный интерьер домика; спокойный средний с мягким трекингом вправо.. Реплика: Он почитает в тишине, когда с собой наедине..","Shot S06C. Location: Домик у горы. Characters: PM. Scene: Контрастный герой вне двора. (часть 3/3). Action: PM сидит у окна с книгой и видом на реку, закрывает книгу, поднимается и медленно проходит к краю комнаты, прислушиваясь к тишине.. Camera: На переднем плане подоконник и книги, в среднем PM в полный рост, на заднем уютный интерьер домика; спокойный средний с мягким трекингом вправо.. Dialogue: Он почитает в тишине, когда с собой наедине..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
2,6,S07A,Утренний поворот сюжета: герой замечает сады. (часть 1/2),Край горы,PM,VoiceOver: Ну что такое?,"PM выходит на край горы, задерживает шаг, щурится вдаль и вытягивает корпус вперёд, заметив сады за облаками.","На переднем плане край скалы, в среднем силуэт PM, на заднем бесконечные сады и облака; общий план с медленным спуском камеры.","Кадр S07A. Локация: Край горы. Персонажи: PM. Сцена: Утренний поворот сюжета: герой замечает сады. (часть 1/2). Действие: PM выходит на край горы, задерживает шаг, щурится вдаль и вытягивает корпус вперёд, заметив сады за облаками.. Камера: На переднем плане край скалы, в среднем силуэт PM, на заднем бесконечные сады и облака; общий план с медленным спуском камеры.. Реплика: VoiceOver: Ну что такое?.","Shot S07A. Location: Край горы. Characters: PM. Scene: Утренний поворот сюжета: герой замечает сады. (часть 1/2). Action: PM выходит на край горы, задерживает шаг, щурится вдаль и вытягивает корпус вперёд, заметив сады за облаками.. Camera: На переднем плане край скалы, в среднем силуэт PM, на заднем бесконечные сады и облака; общий план с медленным спуском камеры.. Dialogue: VoiceOver: Ну что такое?.","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
2,7,S07B,Утренний поворот сюжета: герой замечает сады. (часть 2/2),Край горы,PM,"Ранним утром, склонившись на краю горы, торт птичи молоко заметил вдали гигантские сады.","PM выходит на край горы, задерживает шаг, щурится вдаль и вытягивает корпус вперёд, заметив сады за облаками.","На переднем плане край скалы, в среднем силуэт PM, на заднем бесконечные сады и облака; общий план с медленным спуском камеры.","Кадр S07B. Локация: Край горы. Персонажи: PM. Сцена: Утренний поворот сюжета: герой замечает сады. (часть 2/2). Действие: PM выходит на край горы, задерживает шаг, щурится вдаль и вытягивает корпус вперёд, заметив сады за облаками.. Камера: На переднем плане край скалы, в среднем силуэт PM, на заднем бесконечные сады и облака; общий план с медленным спуском камеры.. Реплика: Ранним утром, склонившись на краю горы, торт птичи молоко заметил вдали гигантские сады..","Shot S07B. Location: Край горы. Characters: PM. Scene: Утренний поворот сюжета: герой замечает сады. (часть 2/2). Action: PM выходит на край горы, задерживает шаг, щурится вдаль и вытягивает корпус вперёд, заметив сады за облаками.. Camera: На переднем плане край скалы, в среднем силуэт PM, на заднем бесконечные сады и облака; общий план с медленным спуском камеры.. Dialogue: Ранним утром, склонившись на краю горы, торт птичи молоко заметил вдали гигантские сады..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
2,8,S08,POV: людской сектор за облаками.,Сады за облаками,"Crowd, PM",PM: Что это?,"PM прячется за выступом и наблюдает, Crowd-люди внизу двигаются между столами, поднимают чашки и жестами общаются.","Передний план занимает силуэт PM и край укрытия, в среднем столы с людьми, на дальнем фоне сады; POV-ракурс с лёгким ручным дрожанием.","Кадр S08. Локация: Сады за облаками. Персонажи: Crowd, PM. Сцена: POV: людской сектор за облаками.. Действие: PM прячется за выступом и наблюдает, Crowd-люди внизу двигаются между столами, поднимают чашки и жестами общаются.. Камера: Передний план занимает силуэт PM и край укрытия, в среднем столы с людьми, на дальнем фоне сады; POV-ракурс с лёгким ручным дрожанием.. Реплика: PM: Что это?.","Shot S08. Location: Сады за облаками. Characters: Crowd, PM. Scene: POV: людской сектор за облаками.. Action: PM прячется за выступом и наблюдает, Crowd-люди внизу двигаются между столами, поднимают чашки и жестами общаются.. Camera: Передний план занимает силуэт PM и край укрытия, в среднем столы с людьми, на дальнем фоне сады; POV-ракурс с лёгким ручным дрожанием.. Dialogue: PM: Что это?.","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
3,1,S09A,Первый монолог Птичьего Молока. (часть 1/2),Край скалы,PM,PM: Чье же это царство? Кто вроде там в такой глуши?,"PM остаётся один, взгляд мечется между горизонтом и землёй, губы шепчут монолог, затем он резко принимает решение.","На переднем плане плечо и профиль PM, в среднем лицо в эмоции, на заднем размытый край скалы; крупный статичный с микродвижением на вдохе.","Кадр S09A. Локация: Край скалы. Персонажи: PM. Сцена: Первый монолог Птичьего Молока. (часть 1/2). Действие: PM остаётся один, взгляд мечется между горизонтом и землёй, губы шепчут монолог, затем он резко принимает решение.. Камера: На переднем плане плечо и профиль PM, в среднем лицо в эмоции, на заднем размытый край скалы; крупный статичный с микродвижением на вдохе.. Реплика: PM: Чье же это царство? Кто вроде там в такой глуши?.","Shot S09A. Location: Край скалы. Characters: PM. Scene: Первый монолог Птичьего Молока. (часть 1/2). Action: PM остаётся один, взгляд мечется между горизонтом и землёй, губы шепчут монолог, затем он резко принимает решение.. Camera: На переднем плане плечо и профиль PM, в среднем лицо в эмоции, на заднем размытый край скалы; крупный статичный с микродвижением на вдохе.. Dialogue: PM: Чье же это царство? Кто вроде там в такой глуши?.","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
3,2,S09B,Первый монолог Птичьего Молока. (часть 2/2),Край скалы,PM,Наполеон или коварство? А может просто миражи?,"PM остаётся один, взгляд мечется между горизонтом и землёй, губы шепчут монолог, затем он резко принимает решение.","На переднем плане плечо и профиль PM, в среднем лицо в эмоции, на заднем размытый край скалы; крупный статичный с микродвижением на вдохе.","Кадр S09B. Локация: Край скалы. Персонажи: PM. Сцена: Первый монолог Птичьего Молока. (часть 2/2). Действие: PM остаётся один, взгляд мечется между горизонтом и землёй, губы шепчут монолог, затем он резко принимает решение.. Камера: На переднем плане плечо и профиль PM, в среднем лицо в эмоции, на заднем размытый край скалы; крупный статичный с микродвижением на вдохе.. Реплика: Наполеон или коварство? А может просто миражи?.","Shot S09B. Location: Край скалы. Characters: PM. Scene: Первый монолог Птичьего Молока. (часть 2/2). Action: PM остаётся один, взгляд мечется между горизонтом и землёй, губы шепчут монолог, затем он резко принимает решение.. Camera: На переднем плане плечо и профиль PM, в среднем лицо в эмоции, на заднем размытый край скалы; крупный статичный с микродвижением на вдохе.. Dialogue: Наполеон или коварство? А может просто миражи?.","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
3,3,S10A,Герой видит стол и людей с тортом. (часть 1/2),Двор частного дома,"PM, Crowd",PM: Не сон для этом не приснился.,"PM осторожно выглядывает из укрытия; люди за столом режут торт и пьют чай, PM отшатывается от увиденного.","Передний план — предметы на столе и край тарелок, средний — люди в действии, задний — PM в тени; средний кадр с переводом фокуса с людей на PM.","Кадр S10A. Локация: Двор частного дома. Персонажи: PM, Crowd. Сцена: Герой видит стол и людей с тортом. (часть 1/2). Действие: PM осторожно выглядывает из укрытия; люди за столом режут торт и пьют чай, PM отшатывается от увиденного.. Камера: Передний план — предметы на столе и край тарелок, средний — люди в действии, задний — PM в тени; средний кадр с переводом фокуса с людей на PM.. Реплика: PM: Не сон для этом не приснился..","Shot S10A. Location: Двор частного дома. Characters: PM, Crowd. Scene: Герой видит стол и людей с тортом. (часть 1/2). Action: PM осторожно выглядывает из укрытия; люди за столом режут торт и пьют чай, PM отшатывается от увиденного.. Camera: Передний план — предметы на столе и край тарелок, средний — люди в действии, задний — PM в тени; средний кадр с переводом фокуса с людей на PM.. Dialogue: PM: Не сон для этом не приснился..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
3,4,S10B,Герой видит стол и людей с тортом. (часть 2/2),Двор частного дома,"PM, Crowd","Ведь говорили, с детства нам не место на столе торт там, а эти варвары как можно пьют чай с тортом неосторожно, вареньем заедают сласть, раскрыв пошире свою пасть.","PM осторожно выглядывает из укрытия; люди за столом режут торт и пьют чай, PM отшатывается от увиденного.","Передний план — предметы на столе и край тарелок, средний — люди в действии, задний — PM в тени; средний кадр с переводом фокуса с людей на PM.","Кадр S10B. Локация: Двор частного дома. Персонажи: PM, Crowd. Сцена: Герой видит стол и людей с тортом. (часть 2/2). Действие: PM осторожно выглядывает из укрытия; люди за столом режут торт и пьют чай, PM отшатывается от увиденного.. Камера: Передний план — предметы на столе и край тарелок, средний — люди в действии, задний — PM в тени; средний кадр с переводом фокуса с людей на PM.. Реплика: Ведь говорили, с детства нам не место на столе торт там, а эти варвары как можно пьют чай с тортом неосторожно, вареньем заедают сласть, раскрыв пошире свою пасть..","Shot S10B. Location: Двор частного дома. Characters: PM, Crowd. Scene: Герой видит стол и людей с тортом. (часть 2/2). Action: PM осторожно выглядывает из укрытия; люди за столом режут торт и пьют чай, PM отшатывается от увиденного.. Camera: Передний план — предметы на столе и край тарелок, средний — люди в действии, задний — PM в тени; средний кадр с переводом фокуса с людей на PM.. Dialogue: Ведь говорили, с детства нам не место на столе торт там, а эти варвары как можно пьют чай с тортом неосторожно, вареньем заедают сласть, раскрыв пошире свою пасть..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
3,5,S11A,Монолог-решение: срочно предупредить дворец. (часть 1/2),Склон горы,PM,PM: Скорее надо во дворец.,"PM сжимает кулаки, разворачивается от обзора людей и быстрым шагом уходит по склону в сторону дворца.","На переднем плане камни тропы, в среднем PM в движении, на заднем удаляющиеся сады; средний трекинг со следованием за спиной героя.","Кадр S11A. Локация: Склон горы. Персонажи: PM. Сцена: Монолог-решение: срочно предупредить дворец. (часть 1/2). Действие: PM сжимает кулаки, разворачивается от обзора людей и быстрым шагом уходит по склону в сторону дворца.. Камера: На переднем плане камни тропы, в среднем PM в движении, на заднем удаляющиеся сады; средний трекинг со следованием за спиной героя.. Реплика: PM: Скорее надо во дворец..","Shot S11A. Location: Склон горы. Characters: PM. Scene: Монолог-решение: срочно предупредить дворец. (часть 1/2). Action: PM сжимает кулаки, разворачивается от обзора людей и быстрым шагом уходит по склону в сторону дворца.. Camera: На переднем плане камни тропы, в среднем PM в движении, на заднем удаляющиеся сады; средний трекинг со следованием за спиной героя.. Dialogue: PM: Скорее надо во дворец..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
